Ticket, Open Time, Type, Size, Item, Price, S/L, T/P, Close Time, Price, Swap, Profit 
1, 20121219 21:46, Buy, 1, 1.3232, EURUSD, 1.3182, 1.3349, 20121220 05:45, 1.3208, 9.6, -249.6
2, 20130122 21:37, sell, 1, 1.3322, EURUSD, 1.3372, 1.3205, 20130123 00:17, 1.3311, 7.4, 102.6
3, 20130124 21:34, sell, 1, 1.3379, EURUSD, 1.3429, 1.3262, 20130124 23:57, 1.337, 0.0, 90.0
4, 20130213 21:59, sell, 1, 1.345, EURUSD, 1.35, 1.3333, 20130213 23:48, 1.3444, 0.0, 60.0
5, 20130214 21:49, sell, 1, 1.3356, EURUSD, 1.3406, 1.3239, 20130215 02:24, 1.335, 7.4, 52.6
6, 20130228 21:58, Buy, 1, 1.306, EURUSD, 1.301, 1.3177, 20130301 02:22, 1.3074, 3.2, 136.8
7, 20130306 21:33, Buy, 1, 1.2984, EURUSD, 1.2934, 1.3101, 20130307 02:09, 1.2987, 9.6, 20.4
8, 20130312 21:58, Buy, 1, 1.3025, EURUSD, 1.2975, 1.3142, 20130313 01:39, 1.3032, 3.2, 66.8
9, 20130313 21:56, sell, 1, 1.296, EURUSD, 1.301, 1.2843, 20130314 03:54, 1.2956, 22.2, 17.8
10, 20130325 21:59, Buy, 1, 1.2847, EURUSD, 1.2797, 1.2964, 20130326 01:12, 1.2867, 3.2, 196.8
11, 20130409 21:51, Buy, 1, 1.3081, EURUSD, 1.3031, 1.3198, 20130410 01:32, 1.3084, 3.2, 26.8
12, 20130507 21:39, Buy, 1, 1.3076, EURUSD, 1.3026, 1.3193, 20130508 00:26, 1.3078, 3.2, 16.8
13, 20130528 21:47, Buy, 1, 1.2853, EURUSD, 1.2803, 1.297, 20130529 02:27, 1.2856, 3.2, 26.8
14, 20130530 21:43, sell, 1, 1.3049, EURUSD, 1.3099, 1.2932, 20130530 23:07, 1.3042, 0.0, 70.0
15, 20130620 21:58, sell, 1, 1.3227, EURUSD, 1.3277, 1.311, 20130621 00:18, 1.3211, 7.4, 152.6
16, 20130710 21:30, sell, 1, 1.2982, EURUSD, 1.3032, 1.2865, 20130710 22:22, 1.3032, 0.0, -500.0
17, 20130827 21:50, Buy, 1, 1.339, EURUSD, 1.334, 1.3507, 20130828 02:09, 1.339, 3.2, -3.2
18, 20130904 21:37, Buy, 1, 1.3204, EURUSD, 1.3154, 1.3321, 20130905 05:30, 1.3166, 9.6, -389.6
19, 20130909 21:55, Buy, 1, 1.3253, EURUSD, 1.3203, 1.337, 20130910 00:21, 1.3258, 3.2, 46.8
